Probability;D;U;Delta;Amount;averageTimeDUpRecoil;averageTimeDUpWithoutRecoil;amountUpRecoil;amountUpWithoutRecoil;averageTimeDDownRecoil;averageTimeDDownWithoutRecoil;amountDownRecoil;amountDownWithoutRecoil;
36.15385;1.1;1.15;0.04999995;130;664.5582;631.0909;43;22;703.85;852.4;40;25;
22.95082;1.1;1.2;0.1;122;640.0816;705.25;49;12;720.1556;860.8125;45;16;
14.91228;1.1;1.25;0.15;114;677.2745;626;51;6;729.1304;931.5455;46;11;
35.2459;1.15;1.2;0.04999995;122;677.2553;741.2857;47;14;685.8125;892.1035;32;29;
24.5614;1.15;1.25;0.1;114;685.8444;816.75;45;12;722.2683;982;41;16;
16.98113;1.15;1.3;0.15;106;726.9111;696.625;45;8;719.3953;1106;43;10;
33.33333;1.2;1.25;0.04999995;114;774.1395;885.6429;43;14;896.7576;699.375;33;24;
18.86792;1.2;1.3;0.1;106;817.1915;789.3333;47;6;847.4359;713.9286;39;14;
16.30435;1.2;1.35;0.15;92;823.35;789.3333;40;6;795.5946;781.8889;37;9;
26.41509;1.25;1.3;0.04999995;106;895.325;804.0769;40;13;863.4474;785.8666;38;15;
19.56522;1.25;1.35;0.1;92;852.8975;1043.286;39;7;848;734.2727;35;11;
17.85714;1.25;1.4;0.15;84;872.5555;1022.667;36;6;861.5757;591;33;9;
30.43478;1.3;1.35;0.04999995;92;948.6111;1119.3;36;10;921.25;921.6111;28;18;
19.04762;1.3;1.4;0.1;84;1011.811;956;37;5;960.871;780.2727;31;11;
11.25;1.3;1.45;0.15;80;1024.444;404.5;36;4;898.1429;724.4;35;5;
38.09524;1.35;1.4;0.04999995;84;1202.4;905.5;30;12;1039.682;1001.55;22;20;
26.25;1.35;1.45;0.1;80;1161.742;800.1111;31;9;879.0357;1247.25;28;12;
